tip_name,nord,nfam,nspe,ngui,shan,simp,invs
Consolida_regalis,3,4,7,6,1.7480673485460894,0.78,4.545454545454545
Hepatica_nobilis,4,5,5,11,2.4849066497880004,0.9166666666666666,12
Ranunculus_acris,7,7,18,14,2.372817331423687,0.8673469387755102,7.538461538461539
Ranunculus_bulbosus,4,5,7,11,2.395908119293929,0.8977777777777778,9.782608695652174
Ranunculus_platanifolius,2,2,2,2,1.0986122886681096,0.6666666666666667,3
Agrimonia_eupatoria,3,8,16,6,1.347974960012722,0.5987654320987654,2.492307692307692
Filipendula_ulmaria,4,20,48,13,2.032148727875373,0.7805212620027435,4.55625
Fragaria_vesca,5,16,26,7,1.5983697097339302,0.7355555555555555,3.781512605042017
Potentilla_crantzii,4,5,5,4,1.5607104090414063,0.7777777777777778,4.5
Potentilla_reptans,5,13,20,8,1.8815113907565904,0.8015122873345936,5.038095238095239
Prunus_padus,5,26,74,16,2.2481737472604313,0.8365432098765432,6.117824773413897
Prunus_spinosa,6,63,265,22,2.204038453856078,0.81231738495252,5.328144003891997
Rubus_caesius,6,24,53,12,2.2638964572201177,0.8714880332986472,7.781376518218623
Sorbus_aucuparia,7,50,129,22,2.4400575573661114,0.854874786193588,6.890601390148081
Sedum_album,5,11,11,15,2.5475313664679273,0.8922495274102079,9.280701754385966
Sedum_sexangulare,4,4,4,10,2.3693821196946763,0.9027777777777778,10.285714285714286
Saxifraga_aizoides,2,3,3,4,1.6094379124341005,0.7999999999999999,4.999999999999999
Saxifraga_caesia,1,1,1,2,1.0986122886681096,0.6666666666666667,3
Saxifraga_rotundifolia,2,3,3,2,1.0397207708399179,0.625,2.6666666666666665
Saxifraga_stellaris,0,0,0,0,0,0,1
Calystegia_sepium,3,11,14,6,1.7582428597165523,0.8027681660899654,5.070175438596491
Convolvulus_arvensis,6,17,24,20,2.754583822798959,0.915,11.76470588235294
Solanum_dulcamara,6,9,12,11,2.333196714286247,0.8864265927977839,8.80487804878049
