order,family,tip_name,maleness,nspe,nfam,ngui,shan,height,sla_imp,nectar,color,shape,polli,range
Myrtales,Lythraceae,Lythrum_salicaria,0.41583619234329905,40,20,16,2.2005773364105154,1.2,23.13,present,purple,funnel,B,2854
Fabales,Fabaceae,Medicago_sativa,0.6329113924050633,91,22,21,2.6344196071107375,0.5,25.5,present,other,flag,H,2612
Lamiales,Orobanchaceae,Melampyrum_arvense,0.46428571428571425,5,5,7,2.0794415416798357,0.6,29.36,present,purple,lip,H,1033
Lamiales,Orobanchaceae,Melampyrum_pratense,0.7216494845360825,15,9,10,2.2326944771870663,0.6,32,plenty,yellow,lip,H,2683
Lamiales,Orobanchaceae,Melampyrum_sylvaticum,0.48617324115494104,2,2,2,1.0986122886681096,0.35,31.784,little,other,lip,H,436
Caryophyllales,Caryophyllaceae,Minuartia_austriaca,0.3527918781725888,1,1,1,0.6931471805599453,0.1,28.834117676644297,NA,white,disk,A,4
Boraginales,Boraginaceae,Myosotis_nemorosa,0.42857142857142855,3,3,4,1.5607104090414063,0.7,33.58,present,blue,stalk,B,1112
Nymphaeales,Nymphaeaceae,Nymphaea_alba,0.39713392059236563,11,7,8,1.951848439223888,0.05,14.7,present,white,disk,A,2158
Fabales,Fabaceae,Onobrychis_viciifolia,0.7818181818181817,60,23,20,2.2645630286733427,0.6,18.2,present,pink,flag,H,1544
Lamiales,Lamiaceae,Origanum_vulgare,0.4,66,22,17,2.2219125592889375,0.8,21.9,present,purple,lip,B,2024
Lamiales,Orobanchaceae,Orobanche_gracilis,0.2434325744308231,0,0,0,0,0.24,24.239772021260222,NA,red,lip,H,207
Oxalidales,Oxalidaceae,Oxalis_acetosella,0.4366197183098592,4,4,5,1.791759469228055,0.1,62.1,present,white,disk,B,2804
Ranunculales,Papaveraceae,Papaver_rhoeas,0.3862841147655703,13,8,9,2.1513220799212713,0.9,29.6,none,red,disk,P,2777
Lamiales,Lentibulariaceae,Pinguicula_alpina,0.36815920398009955,0,0,0,0,0.05,48.84,none,white,lip,other,147
Lamiales,Plantaginaceae,Plantago_lanceolata,0.6830167280975333,76,24,18,2.1196517072954597,0.25,24.2,none,other,NA,other,2986
Lamiales,Plantaginaceae,Plantago_media,0.775,36,13,11,1.9460138603049142,0.8,20.66,none,white,NA,other,2327
Fabales,Polygalaceae,Polygala_chamaebuxus,0.25650969529085876,2,2,3,1.3862943611198906,0.2,18.3937,present,yellow,flag,B,293
Rosales,Rosaceae,Potentilla_crantzii,0.3223684210526316,5,5,3,1.242453324894,0.25,16.1,NA,yellow,disk,A,21
Rosales,Rosaceae,Potentilla_reptans,0.22552166934189405,29,14,9,1.7555153796322114,1,23.41,present,yellow,disk,A,2760
Ericales,Primulaceae,Primula_auricula,0.3235097119892833,4,4,1,0.5004024235381879,0.2,31.35,present,yellow,stalk,F,80
Ericales,Primulaceae,Primula_farinosa,0.4288107202680067,2,2,2,1.0986122886681096,0.2,22.2222,present,yellow,stalk,F,328
Lamiales,Lamiaceae,Prunella_grandiflora,0.672,4,3,2,0.9502705392332347,0.25,20.11,present,violet,lip,H,940
Rosales,Rosaceae,Prunus_padus,0.2436032246757799,102,33,18,2.2085355208852295,15,27.3,plenty,white,disk,A,2747
Rosales,Rosaceae,Prunus_spinosa,0.36771600803750837,369,62,24,2.1163002428771334,4,10.7,plenty,white,disk,A,2905
Boraginales,Boraginaceae,Pulmonaria_officinalis,0.31367564819522115,30,13,13,2.147569651753188,0.3,25.88,plenty,red,stalk,B,2109
Ranunculales,Ranunculaceae,Ranunculus_acris,0.6333333333333333,38,9,12,2.081644640029908,1,20.605,present,yellow,disk,A,2985
Ranunculales,Ranunculaceae,Ranunculus_bulbosus,0.6993736951983299,17,8,9,1.9680901311046588,0.25,17.8571,present,yellow,disk,A,2497
Ranunculales,Ranunculaceae,Ranunculus_platanifolius,0.6423559640280659,4,4,4,1.5607104090414063,0.8,20.04,NA,white,disk,A,352
Lamiales,Orobanchaceae,Rhinanthus_glacialis,0.4634517766497462,0,0,0,0,0.6,23.092005352343588,present,yellow,lip,H,410
Lamiales,Orobanchaceae,Rhinanthus_minor,0.2105263157894737,14,8,8,2.0611128325795947,0.6,21.95,present,yellow,lip,H,2171
Ericales,Ericaceae,Rhododendron_hirsutum,0.43255813953488376,1,1,2,1.0986122886681096,1,18.038045191741045,present,red,bell,H,72
Rosales,Rosaceae,Rubus_caesius,0.7079417726183895,62,26,13,2.1415089870253845,0.6,22.25,plenty,white,disk,B,2768
Lamiales,Lamiaceae,Salvia_pratensis,0.47297297297297297,60,24,17,2.1531105266522177,1,26.38,present,blue,lip,H,1694
Dipsacales,Adoxaceae,Sambucus_nigra,0.6164102564102564,47,21,13,2.0475958025943597,10,19.5,none,white,disk,P,2980
Saxifragales,Saxifragaceae,Saxifraga_aizoides,0.16635514018691586,5,5,6,1.9061547465398494,0.2,19.6,plenty,yellow,disk,A,79
Saxifragales,Saxifragaceae,Saxifraga_caesia,0.2752525252525253,1,1,2,1.0986122886681096,0.03,21.099938470159714,present,white,disk,A,58
Saxifragales,Saxifragaceae,Saxifraga_rotundifolia,0.4002157497303129,5,5,2,0.8675632284814612,0.4,21.520369320890207,present,white,disk,A,70
Saxifragales,Saxifragaceae,Saxifraga_stellaris,0.2606924643584521,0,0,0,0,0.2,22.72,present,white,disk,A,NA
Lamiales,Lamiaceae,Scutellaria_galericulata,0.45305164319248825,8,4,4,1.4681399390162087,0.5,37.35,present,violet,lip,H,2749
Fabales,Fabaceae,Securigera_varia,0.582089552238806,54,23,16,2.245289531583026,0.7,30.3066,present,white,flag,H,1732
Saxifragales,Crassulaceae,Sedum_album,0.25641025641025644,16,14,11,2.062332394380924,0.15,15.08,present,white,disk,A,1694
Saxifragales,Crassulaceae,Sedum_sexangulare,0.2017543859649123,4,4,5,1.7478680974667573,0.25,13.98,NA,yellow,disk,A,2075
Solanales,Solanaceae,Solanum_dulcamara,0.7253044654939106,22,12,13,2.3172874152042438,2,25.43,none,violet,disk,P,2859
Ericales,Primulaceae,Soldanella_alpina,0.46779661016949153,3,3,2,1.0549201679861442,0.1,32.39648219475425,present,violet,bell,H,57
Rosales,Rosaceae,Sorbus_aucuparia,0.479177119919719,180,52,23,2.381468712432508,15,12.75,plenty,white,disk,A,2935
Lamiales,Lamiaceae,Stachys_palustris,0.488645920941968,29,13,14,2.561097799722234,1,21.1974,present,purple,lip,H,2851
Lamiales,Lamiaceae,Stachys_recta,0.5,39,19,15,2.3294890059555415,0.5,28.535,plenty,white,lip,H,1002
Caryophyllales,Caryophyllaceae,Stellaria_nemorum,0.25055432372505543,16,10,10,2.2502602786175907,0.45,46.38,present,white,disk,A,2226
Boraginales,Boraginaceae,Symphytum_officinale,0.4044943820224719,38,17,12,2.0951836552847785,1.2,28.86,present,violet,bell,H,2799
Fabales,Fabaceae,Lotus_maritimus,0.4473684210526316,12,11,8,1.8989267893363286,0.3,19.52,present,yellow,flag,H,445
Lamiales,Lamiaceae,Teucrium_chamaedrys,0.54837946534185,30,17,13,2.2185224296016828,0.3,18.69,present,red,lip,H,650
Lamiales,Lamiaceae,Teucrium_montanum,0.5615050651230101,18,11,9,2.0744897329904974,0.35,17.93,present,yellow,lip,H,326
Lamiales,Lamiaceae,Thymus_praecox,0.5551398828887443,20,10,10,2.157954107610134,0.15,19.6,present,purple,lip,B,446
Malvales,Malvaceae,Tilia_cordata,0.6241887905604719,115,38,14,1.9937434117737078,25,41,present,yellow,disk,A,2737
Fabales,Fabaceae,Trifolium_medium,0.7142857142857143,33,13,19,2.6168266465636116,0.5,19.32,present,red,flag,H,2663
Fabales,Fabaceae,Trifolium_pratense,0.5152354570637119,81,25,23,2.5914842786466528,1,23.72,present,red,flag,H,2989
Fabales,Fabaceae,Trifolium_repens,0.6965853658536586,60,21,21,2.7206756069843108,0.5,27.355,present,white,flag,H,2991
Dipsacales,Caprifoliaceae,Valeriana_officinalis,0.6000000000000001,31,16,13,2.37447795497728,0.75,50.06,present,pink,funnel,B,2890
Lamiales,Scrophulariaceae,Verbascum_lychnitis,0.5297138664710198,23,13,11,2.071197597049149,1.5,13.78,none,yellow,lip,P,1713
Lamiales,Scrophulariaceae,Verbascum_thapsus,0.3187414500683995,46,16,15,2.0576303830637737,2,14,NA,yellow,lip,P,2564
Lamiales,Verbenaceae,Verbena_officinalis,0.3333333333333333,4,3,3,1.3321790402101223,0.6,14.2,present,violet,funnel,H,1876
Lamiales,Plantaginaceae,Veronica_chamaedrys,0.5384615384615384,32,17,13,2.1563047720218567,0.4,29.47,present,blue,lip,other,2913
Lamiales,Plantaginaceae,Veronica_officinalis,0.2848297213622291,16,10,10,2.0075210235668908,0.4,16.1,present,violet,lip,B,2828
Dipsacales,Adoxaceae,Viburnum_lantana,0.3166397415185783,28,18,15,2.4853414923810724,6,10.2,NA,white,disk,A,1390
Fabales,Fabaceae,Vicia_cracca,0.5447647951441578,93,22,19,2.3288747705356316,2,26.615,present,violet,flag,H,2918
Malpighiales,Violaceae,Viola_biflora,0.4510166358595194,6,2,2,0.796311640173813,0.15,53.94,present,yellow,lip,H,95
Malpighiales,Violaceae,Viola_reichenbachiana,0.3517786561264822,10,6,5,1.6417347121875212,0.25,30.005,present,violet,lip,H,2637
